0,425,220,160,9,25,40,14,18,10
1,425,220,160,10.1,24.9,31.1,19.1,17.3,12.8
2,425,220,160,10.9,21.5,49.9,5.4,13.7,7.2
3,425,220,160,8,32.1,31.9,12.6,18.8,19.9
4,425,220,160,10.7,34.4,32.1,10,15.9,11.4
5,425,220,160,9.9,28,46.1,11.1,14,10.7
6,425,220,160,8.2,27.8,31.3,16.3,17.2,5.9
7,425,220,160,8.8,25.7,53.9,8.9,18.3,10.8
8,425,220,160,9.6,33.9,53.5,16.1,20,5.2
9,425,220,160,10.9,25.4,53.7,12.8,5.3,13.4
10,425,220,160,10.7,20.9,34.3,6.1,17.8,17.7
11,425,220,160,8.4,32.4,50.7,7.6,14.2,15
12,425,220,160,10.9,26.6,45.5,14.7,19.8,6.4
13,425,220,160,11,24.7,57.7,11,13.1,6.2
14,425,220,160,9.4,25.8,50.9,8.1,11.8,18.1
15,425,220,160,10.2,20.7,55.5,10.7,16.5,19.4
16,425,220,160,8.4,21.1,45.7,14.8,9.2,13.9
17,425,220,160,9.5,34.9,42.7,6.4,12.6,7.5
18,425,220,160,10.4,33.7,57.3,17.6,18.2,19
19,425,220,160,10.4,29.3,31.5,7.8,13.9,11.6
20,425,220,160,10.7,20.6,34.1,18.5,17.4,10.5
21,425,220,160,9.8,22.7,35.9,9.3,16.1,17.4
22,425,220,160,8.2,26,40.5,15.7,14.4,5.4
23,425,220,160,10.9,34.2,54.5,6,9.8,5.5
24,425,220,160,10.8,20.3,55.3,9.7,15.4,15.7
25,425,220,160,10.2,20.4,32.5,6.5,6.4,14.6
26,425,220,160,10.2,21.2,41.9,13.6,14.5,13.3
27,425,220,160,9.9,29.8,47.3,16.5,14.9,16.9
28,425,220,160,9.1,31.2,43.5,13.8,15.7,16.5
29,425,220,160,9.6,29.9,51.5,11.8,18.1,18.2
30,425,220,160,8.3,27.2,48.9,13.7,19.7,10.3
31,425,220,160,9.8,28.1,39.9,15.4,16.3,16.1
32,425,220,160,8,23.2,44.9,16,13.6,14.2
33,425,220,160,8.7,31.5,30.3,13.5,19,12.2
34,425,220,160,8.1,23.4,59.3,18.7,14.1,5.8
35,425,220,160,8.4,30.4,36.5,8.7,5.2,18.3
36,425,220,160,10.6,22.2,33.5,16.8,7.4,11.5
37,425,220,160,9.9,24.8,41.1,8.3,17.9,14.7
38,425,220,160,9.2,29.6,37.1,7.4,12,17.2
39,425,220,160,10.7,32.6,44.7,12.5,17.6,7
40,425,220,160,8.2,21,39.5,11.3,9.5,8.4
41,425,220,160,9.3,34.6,58.9,11.9,13,13.7
42,425,220,160,9.2,32,58.1,14.9,14.6,13.1
43,425,220,160,10.3,25.9,33.7,19.5,5.6,19.2
44,425,220,160,10.3,26.3,55.1,10.9,13.8,18.9
45,425,220,160,8.6,25.2,39.1,16.4,10.7,17
46,425,220,160,9.8,25.1,41.7,9.5,6.1,5.6
47,425,220,160,9.4,29,46.5,17.5,12.5,6
48,425,220,160,10.1,30.1,57.5,18.2,8.7,6.6
