StartNumber,SecondAoA,SecondGapSize,SecondGapAngle,ThirdAoA,ThirdGapSize,ThirdGapAngle
1,20.1787197402274,43.3294133345612,125.503110627615,50.9284642541687,22.6288699319556,111.531061660848
2,15.58308611208,38.6694599955139,104.697807052974,55.6248912934208,37.1849635312068,112.159843785378
3,19.4870012328289,58.701480116601,136.58255532973,43.0685543460108,34.269262321137,95.0507520806314
4,15.9796106999908,30.747715858005,104.324820318906,53.8927182370239,36.3435783949168,134.014001251581
5,16.5284518132748,35.8620306470538,138.741632269873,56.5217642491322,37.4150637199673,116.935221376458
6,16.2535576400618,44.5716018927267,132.168501963038,59.6326734278617,37.9273926086257,136.91428034754
7,18.6239597060292,49.4590002169178,137.328553741363,49.1124021559365,19.3804099935065,124.923149892381
8,16.2327776206441,38.2526106343941,115.883412330113,58.3556159502794,20.2159697724203,124.146334134368
9,18.3423154782888,31.3157159095547,134.280016369263,58.0850611617714,32.5366020530302,89.6734544102277
10,19.6992310398819,41.4271397354269,132.769787426465,51.8252074883005,36.8042809090132,130.860377532106
11,21.6985417586697,47.0257204598689,135.405734913231,38.5528507823273,30.6588848510776,129.178450096674
12,24.6802310911073,53.3817365764413,135.743850975592,39.6230908956004,29.9653554650282,126.79222004549
13,15.3755766463258,32.9936105232746,118.64661337695,56.6206161368933,27.2284695088743,135.405323464489
14,17.5684526219693,53.1268824083328,133.211168669107,52.9675279108135,20.9147121135263,103.894118725406
15,22.7894789690951,34.4033794818081,116.161070644246,48.7657435560236,24.5459165203292,136.392905545003
16,22.3703912118382,39.702669893649,126.179913861059,44.0022969469289,35.6997474962433,120.375626984845
17,18.0157365352369,48.082021721054,139.872843604603,52.0329883446726,33.4331151262168,118.699791075826
18,18.9514609730084,41.2242018769799,120.166229723677,57.4660736022493,18.6990611818031,115.178549710744
19,16.119299196104,52.8111151113185,136.727656106297,53.5502040197816,30.309706865476,99.5215509110133
20,18.0857532589271,33.2504670438465,138.945468899218,52.5549953177547,31.3304954576358,95.8060246442471
21,16.8731403517482,37.2589020270035,123.037497321936,54.5109489648671,26.1968995241092,133.630513902163
22,23.2084988258415,53.9462831501869,139.69985293244,46.4048188436325,26.0011925148371,135.123841587066
23,21.9643193987882,30.3036781289702,133.885789836956,47.4688970156074,37.7818661406284,135.846458497721
